Date,CPI_all_item,value_thousand_usd_exp,value_thousand_usd_imp
2015-01-22,156.61,691813.9920600001,702215.34953
2015-02-22,158.44,522931.74188,785599.99954
2015-03-22,158.58,526926.92383,792214.6695900001
2015-04-22,159.65,502114.13565999997,800527.7795200001
2015-05-22,159.77,629742.0394,849568.55397
2015-06-22,160.11,806479.64326,948951.98232
2015-07-22,160.98,926159.86661,1027620.6285499999
2015-08-22,161.45,900825.5060200001,979885.74604
2015-09-22,161.96,742367.6303300001,899450.73306
2015-10-22,161.83,742563.91829,838909.7547299999
2015-11-22,161.5,692254.65194,908557.90329
2015-12-22,161.77,823133.19755,1054204.65729
2016-01-22,161.39,831249.2937800001,952082.90092
2016-02-22,162.1,737559.28626,873619.5264099999
2016-03-22,161.8,731583.21421,1032295.9067500001
2016-04-22,164.13,697678.2788099999,1022979.65593
2016-05-22,164.71,729158.0063700001,1064392.2817199999
2016-06-22,165.32,938591.3238399999,1021942.8189099999
2016-07-22,165.88,1096449.48796,1055163.90043
2016-08-22,166.18,925530.0970399999,998016.1902300001
2016-09-22,166.64,862479.47937,989390.0830699999
2016-10-22,167.25,676554.45767,1016280.7319
2016-11-22,167.32,756429.17339,1056135.01995
2016-12-22,168.03,946035.1711800001,1162337.18931
2017-01-22,168.52,804394.0134800001,1097771.99581
2017-02-22,168.64,819589.8447499999,967056.5874600001
2017-03-22,168.65,917101.03141,1249041.33194
2017-04-22,169.4,712656.77089,1157196.66867
2017-05-22,169.07,804312.6285,1250634.81421
2017-06-22,169.19,1076572.04808,1191336.47865
2017-07-22,169.74,1105175.4784000001,1228734.43434
2017-08-22,170.5,1093902.34576,1181301.55521
2017-09-22,171.08,1083458.2979300001,1127390.81336
2017-10-22,170.77,907676.57224,1185357.16922
2017-11-22,171.09,796640.99283,1319114.4220099999
2017-12-22,171.78,1100053.8514100001,1265214.92621
2018-01-22,171.89,944566.99376,1218458.1159899998
2018-02-22,172.52,874666.96006,1290675.858
2018-03-22,172.58,1033527.26406,1252274.64188
2018-04-22,173.44,758912.15311,1304420.75238
2018-05-22,173.91,992601.56966,1564894.35202
2018-06-22,174.16,1260269.7144,1524510.19931
2018-07-22,173.69,1173361.44285,1447778.72961
2018-08-22,174.89,1349867.65059,1638029.16123
2018-09-22,175.48,1128325.2094,1425028.818
2018-10-22,176.02,884349.4216400001,1479463.04917
2018-11-22,175.41,1104155.10471,1502386.55711
2018-12-22,174.59,1124205.1314,1617002.928
2019-01-22,174.54,1071561.9582500001,1585959.97376
2019-02-22,175.99,992377.7957700001,1290754.74511
2019-03-22,176.45,1155579.61574,1565951.8651700001
2019-04-22,177.02,866340.3245,1662062.61988
2019-05-22,177.36,1192918.5978,1995909.7993400001
2019-06-22,176.67,1411644.1813400001,1710529.08651
2019-07-22,177.47,1532690.22077,1823173.43768
2019-08-22,178.5,1702580.06753,1769054.93124
2019-09-22,178.45,1203418.41799,1507368.5142100002
2019-10-22,178.25,1134011.2146299998,1753888.32058
2019-11-22,178.5,1278533.49695,1715482.6337000001
2019-12-22,179.95,1207083.061,1791676.4475699998
2020-01-22,180.8,1477486.60409,1919638.28685
2020-02-22,180.65,1369891.80463,1543016.89632
2020-03-22,181.46,1124936.7268,1604465.4293
2020-04-22,180.41,949169.96323,1449074.65191
2020-05-22,181.56,1528612.5267,1333444.98105
2020-06-22,182.36,1909217.13227,1399806.3801799999
2020-07-22,183.01,2292598.10215,1414749.7312699999
2020-08-22,182.79,1890258.68187,1359483.31635
2020-09-22,183.56,1568864.26449,1580835.37158
2020-10-22,184.91,1338847.74339,1534948.71737
2020-11-22,185.1,1341414.58016,1791292.0783799998
2020-12-22,185.13,1550959.97142,2169272.39658
2021-01-22,185.49,1549416.96022,2353273.83547
2021-02-22,183.78,1419936.63991,2312332.33872
2021-03-22,185.23,1580163.82519,2848607.95273
2021-04-22,185.36,1210404.57112,2010544.2969
2021-05-22,186.98,1240179.02907,2242616.88331
2021-06-22,187.36,1497286.02967,2408623.41366
2021-07-22,189.11,2039834.75577,2335621.48326
2021-08-22,189.0,1851674.25055,1892175.49575
2021-09-22,189.0,1750488.39347,2217926.32321
2021-10-22,190.36,1582307.08069,2438107.7333
2021-11-22,192.12,1602161.90051,2350892.47982
2021-12-22,191.98,1985056.55877,3292167.42139
2022-01-22,193.06,1821959.85971,3077784.1259500002
2022-02-22,195.41,1773800.47421,2079911.00737
2022-03-22,198.56,2121062.3349,2288223.16246
2022-04-22,198.8,1889483.43384,2597383.93265
2022-05-22,200.39,1806023.135,3013739.03607
2022-06-22,202.06,1966792.9760699999,2807679.40598
2022-07-22,199.28,2390607.31591,3186610.4503699997
2022-08-22,198.35,1872171.53668,2712689.18486
2022-09-22,197.39,1616440.69168,2000242.2999800001
2022-10-22,197.28,1489223.55825,2053465.18725
2022-11-22,198.28,1710175.67016,1929342.0537800002
2022-12-22,197.48,2025196.42188,2194531.78205
2023-01-22,198.78,1567867.23077,1922330.63403
2023-02-22,199.71,1717455.80147,1640171.25218
2023-03-22,199.96,2106689.51765,2297629.2601
2023-04-22,200.93,1842110.29653,2066787.45121
2023-05-22,201.34,1949350.30424,2182162.47709
2023-06-22,202.14,2281006.82361,2120099.85243
2023-07-01,203.02,2060606.41231,1946096.86366
2023-08-01,204.76,2166977.96692,2104749.56769
2023-09-01,204.8,1881007.78325,1955082.06759
2023-10-01,204.95,1645992.3629700001,1858304.12303
2023-11-01,203.62,1902888.09671,1931241.9557
2023-12-01,202.84,2150312.26817,2176856.25203
2024-01-01,197.82,1967016.89578,2090110.68193
2024-02-01,199.12,2018465.46194,2045014.30424
2024-03-01,200.03,2276174.91787,2099753.03252
2024-04-01,201.93,1744278.2678500002,2429647.5115799997
2024-05-01,203.55,2067169.93554,2601931.62201
2024-06-01,203.56,2223017.50507,2530248.2974199997
2024-07-01,204.32,2468808.64555,2627372.01368
2024-08-01,205.33,2815197.55757,2478896.89014
2024-09-01,206.03,2253151.51143,2203640.84502
2024-10-01,207.74,1740977.87466,2383635.0615600003
2024-11-01,207.66,2356302.73323,2454627.11945
2024-12-01,209.03,2266038.18388,2600474.10334
2025-01-01,209.7,2306494.05249,2750702.2236200003
2025-02-01,208.54,2153706.60488,2236625.70445
2025-03-01,207.42,2415464.19153,2586169.64996
2025-04-01,208.29,2262057.85228,2794625.39735
2025-05-01,207.03,2667421.17915,3118440.43014
2025-06-01,206.8,2486918.62002,2792290.93423
2025-07-01,207.72,2871405.60157,2880768.63774
