CPI_all_item,Gasoline_92_Unit_Price,Gasoil_50ppm_Unit_Price
198.78,4266.666666666667,4516.666666666667
199.71,4583.5,4633.5
199.96,4356.5,4256.5
200.93,4425.0,4100.0
201.34,4100.0,3825.0
202.14,4200.0,3925.0
203.02,4150.0,3983.3333333333335
204.76,4583.333333333333,4616.666666666667
204.8,,
204.95,,
203.62,4325.0,4400.0
202.84,4200.0,4183.333333333333
197.82,4166.666666666667,4133.333333333333
199.12,4333.333333333333,4266.666666666667
200.03,4300.0,4166.666666666667
201.93,4466.666666666667,4183.333333333333
203.55,4316.666666666667,4066.6666666666665
203.56,4166.666666666667,4066.6666666666665
204.32,4283.333333333333,4183.333333333333
205.33,4166.666666666667,4000.0
206.03,3916.6666666666665,3750.0
207.74,3933.3333333333335,3766.6666666666665
207.66,3900.0,3783.3333333333335
209.03,3916.6666666666665,3783.3333333333335
209.7,3950.0,3800.0
208.54,4025.0,3850.0
207.42,3883.3333333333335,3733.3333333333335
208.29,3783.3333333333335,3583.3333333333335
207.03,3733.3333333333335,3500.0
206.8,3750.0,3525.0
